"name","numberOfGuests","roomType","stars"
"Villa Ciana-a charming house in nature","4","Entire home",
"Entire House serene overlooking nature sanctuary","6","Entire home",
"Neverbeen to Tithira Guest |DBL Garden View room 3","2","Private room in guesthouse",
"Officers Mess, Kandy - Room 1","2","Private room in bed and breakfast","4.78"
"Entire furnished house in Colombo South","2","Entire home",
"agarwood villa","8","Entire home",
"Sigiriya Samanala Guest","8","Private room in bed and breakfast","4.63"
"Villa Ocean Breeze Ahangma Beach","6","Entire home",
"Marine Ray Resort In Hikkaduwa Room No 1","3","Private room in bed and breakfast",
"Bungalow  by Villa Forest View","8","Entire rental unit","5"
"Boutique Style home in Badulla","4","Private room in townhouse",
"kaZan","16","Earthen home",
"Cool place with facilities","8","Entire home",
"Sigiri Heaven Villa","4","Room in hotel",
"Ravi's Villa","6","Entire villa",
"The beach gate villa","4","Entire guesthouse",
"3 Bed rooms with attached  bathrooms and kitchen","6","Private room in home",
"Peacock Riverside (villa)","9","Entire villa",
"Fully furnished 2 bedroom vacation home - Wattala","8","Entire vacation home",
"Moorthy villa guest house","1","Entire home",
"Private Rooms in Koggala","2","Private room in home",
"Sisira Eco Tree House","2","Treehouse","4.6"
"The 900 Luxury Apartment","8","Entire condo","3.67"
"Spacious 2BR Village Home~Calm~GardenV~UnltdWi-fi","4","Entire home",
"Ifti Holiday Home","2","Entire rental unit","4.78"
"resting vibes villa","8","Entire home",
"Lagoon Front Cabana | Meditative Location | Island","3","Private room in nature lodge",
"Arana Estate Bungalow","12","Farm stay",
"111 Affordable Luxury | Standard Double | 10% OFF","2","Room in boutique hotel",
"Tranquil house to relax. Cook available","5","Entire home",
"White Queen Residence - Upstairs","6","Entire vacation home",
"Adya residence hikkaduwa","2","Entire rental unit",
"Lucky Star View Inn","16","Room in hotel",
"Nisansala Holiday Inn, Karapitiya","5","Entire home",
"Sea Facing A/C Private Room In A Beach House","2","Private room in guesthouse","4.56"
"southernhite residence","6","Entire rental unit",
"Uninterrupted sea view","5","Entire condo",
"Private Rooms In Koggala","2","Private room in home",
"Haven house with A/C","2","Entire bungalow","5"
"Neverbeen to Theepan's Home | Nilaveli Beach","8","Entire home","4.62"
"Sea View Apartment","6","Entire rental unit",
"River Breeze Villa Galle","4","Entire home",
"AraliyaHome","4","Entire home",
"Nirvana Villa - Polhena","4","Entire rental unit",
"A/C room in candle house villa","2","Private room in guesthouse",
"cabana","2","Tiny home","4.43"
"Best and more fun an experience (Room No2)","3","Entire home",
"Richmondhill Apartment Galle","6","Entire rental unit",
"Tranquil Haven: Double Room with Modern Comforts","2","Room in hotel",
"AC family bungalow (2-4) pax","4","Private room in guesthouse","4.6"
"Siri Garden Home Dehiwala","4","Entire rental unit",
"Starfish beach bungalows 2/  whiskeypoint/Pottuvil","6","Private room in guesthouse",
"Ancient Gardens - Villa","7","Private room in bed and breakfast",
"Livinginn Guest House Polonnaruwa","2","Private room in guesthouse","4.72"
"Apartment-2 bed rooms & 1 single room  at Nugegoda","5","Entire rental unit","4.67"
"HOUSE FOR LEASE IN KADAWATHA","6","Entire home",
"Menushi Guest House","4","Entire guesthouse",
"Sounds of Nature,2 single beds (#7)","2","Private room in bed and breakfast","5"
"Villa Lake Mountain","6","Entire villa",
"Spacious 2 Bedroom Apartment with a beautiful view","2","Entire rental unit",
"prabha's garden homestay","6","Private room in home",
"Neverbeen to Summer Lodge | Private Room with BB 2","3","Private room in home",
"Cozy Hotel Bed Room | Shared Kitchen | By Beach","2","Room in hotel",
"GJ Garden villa","8","Entire home",
"Welcome to beautiful Nirodya Villa!","8","Private room in villa","4.5"
"Two Bedroom Apartment Hiriketiya","4","Entire rental unit",
"1 min to Unawatuna beach","2","Private room in guesthouse",
"Villa LaLuna - Hikkaduwa","6","Entire home",
"Budget Double Room/ Ratna Gems Halt","2","Private room in guesthouse",
"Dionis Villa: Dharma loft","4","Entire rental unit",
"Colonial Surfing Villa Midigama","2","Private room in home","4.67"
"Time Lag Garden Cabana2","3","Tiny home","4.2"
"Coastal Dreams Guest House","3","Private room in villa",
"Blue Coral - On The Beach - Peacock","3","Private room in bed and breakfast",
"Villa With  River & Garden View","4","Private room in villa",
"Serendipity (Weligama) - Tranquility in SL (Bed 2)","2","Private room in villa","5"
"Sethra Emerald","2","Private room in cottage",
"Superior Triple Room with en-suite Bathroom","3","Private room in bungalow",
"3 A/C bedroom 2Bathroom -Entire Floor - Dill Villa","8","Entire villa",
"Miracle Garden room","2","Private room in guesthouse",
"Specious Double AC Room with Pool View R02(B&B)","2","Room in hotel","4.55"
"Anusha Villa","3","Private room in bed and breakfast","4.62"
"Thaaaru Villa","4","Entire home",
"Fisherman lodge Triple room","3","Private room in guesthouse",
"Garden Studio","2","Entire condo",
"Cabana In Unawatuna The Emerald","2","Entire cabin",
"Singha Villa B&B","12","Private room in bed and breakfast",
"private room in ella","2","Private room in bed and breakfast",
"River Front Villa","8","Private room in guesthouse",
"Guest house with restaurant","8","Entire guesthouse",
"The Woods in Beragala; Cottage 3","3","Entire cabin",
"Bayview Rest 1","2","Private room in guesthouse",
"Comfy Double Room in a Lagoon front Apartment BB 1","8","Private room in villa","5"
"Double room with AC + Private Bathroom + Hot Water","2","Private room in bungalow","4.45"
"The Cozy Cottage Habarana,
Deluxe Family Room","4","Private room in nature lodge",
"Centrally located Room for 2 wit attached Bathroom","2","Private room in condo","4.33"
"Sahasna villa (One Bedroom private villa)","2","Private room in villa","5"
"well come and gide you around","4","Private room in rental unit",
"Beach View Twin Cabana #2","2","Private room in guest suite",
"The Point Bay Arugambay","2","Private room in bed and breakfast",
"Enjoy the Resort life @ Ariyana","4","Entire rental unit",
"Palm Garden Guest House apartment","2","Private room in rental unit","5"
"Yi世界(Sauru Siri Villa) 04号房","2","Private room in minsu",
"Homely & Convenient.","6","Entire home","4.8"
"Pirivena Garden Unit, Colombo","2","Entire home",
"New Coral Garden  Weligama","2","Private room in bed and breakfast",
"Hansaj Resort","16","Room in hotel",
"Superior Family Room in Villa White","4","Private room in villa",
"Private two floor home","4","Entire townhouse",
"Officers Mess, Kandy - Room 3","3","Private room in bed and breakfast","4.75"
"A/C Beach Front Room","2","Private room in guesthouse",
"White House 101","2","Private room in serviced apartment",
"3 Bed room spacious cottage to relax & work.","4","Entire chalet","5"
"""Experience beachside luxury""","2","Private room in rental unit",
"Hansi Villa Bentota","6","Entire villa","4.22"
"Great place to stay close to Ella","2","Private room in bed and breakfast",
"Ecostay C","2","Entire rental unit",
"Om Villa - Two Bed Room Apartment Ground Floor","4","Private room in rental unit",
"Rashindu Villa Mirissa","6","Entire villa","4.75"
"Transit Studios Katunayake","2","Private room in rental unit","5"
"Deluxe Double Room with Sea View","2","Private room in bed and breakfast",
"Cinnamon Homestay (3)","4","Entire home","4.28"
"Private room w/ queen bed","2","Private room in home",
"Deluxe Room with a Breathtaking Lake View with B&B","2","Room in nature lodge",
"Rovenma Hill B&B Double AC Room","2","Private room in bed and breakfast",
"ossa home stay","6","Private room in nature lodge","4.33"
"Deluxe Twin Room with Balcony","3","Private room in bed and breakfast",
"moon home","4","Entire home",
"Sea dream guest house","8","Private room in guesthouse","4.8"
"Christima Residence -Standard Double Room 7","2","Private room in guesthouse",
"“Anncyl” Walawwa","8","Private room in home",
"Cozy quiet jungle house view (CHEAP)","4","Entire rental unit",
"Gedara - Town House with Modern Sri Lankan decor","2","Private room in home","4.85"
"Glamping Safari bordering Udawalawe National park","4","Tent",
"Standard Double Room with Fan","2","Private room in home",
"Seconds@44 Single room","1","Private room in home","4.5"
"Villa sierra sky         with penoramic view","14","Entire villa",
"Kavidi Villa","2","Entire guesthouse",
"Chithroo Villas Delux Large double room non A/C","2","Room in hotel",
"Green Life Generation Cottage","2","Private room in nature lodge",
"Nil Diya Villa","10","Entire villa","4.52"
"AC 2ppl comfy King bed 0.5Km main unawatuna beach","2","Room in hotel",
"Best Place for your First Day","5","Private room in guesthouse",
"Eco Resort","10","Entire home",
"Koon Cottage (Room #3 of 3)","3","Private room in bed and breakfast",
"Alikele Resort- Habarana, Deluxe Tripal Room 202","3","Room in hotel",
"Volunteer Ceylon","9","Private room in bungalow",
"Villa Banana","4","Private room in villa",
"Beach Walk Villa","10","Entire guesthouse",
"Jaga Home - A/C Room Balcony with Sea View","2","Private room in home","5"
"Upstairs for rent in madiha","4","Private room in home",
"Good Life Unawatuna Double Deluxe with A/C","2","Room in boutique hotel","4.43"
"Kingfisher Resort Sigiriya","2","Private room in bed and breakfast",
"Serene Galle Oasis","6","Entire rental unit",
"Heaven Villa kandy","2","Private room in home",
"Dilu's Homestay - Garden view room","2","Private room in home","4.67"
"Serene Galle Haven","6","Entire rental unit",
"Sunshine Jp Guest house balcony with air condition","2","Private room in rental unit",
"Hotel Sapid Luck Yala Safari","6","Room in hotel","4.13"
"Welcome to our Sri Lankan Place with all comfort","8","Private room in bed and breakfast",
"Entire Villa with 3 bedrooms","6","Entire home",
"Ecostay B","4","Entire rental unit",
"DLX Family Room","4","Room in hotel",
"Harini Villa Bed And Breakfast","4","Private room in bed and breakfast",
"Welcome To Ranna 212","10","Room in hotel",
"Roadster Studio XJ-S - A/C Private Room - 2 Guests","2","Private room in guesthouse","4.46"
"Amron Resort Deluxe 4 Pax Room in sigiriya","4","Private room in bed and breakfast",
"Ridma Villa","2","Entire home",
"Kavi- CR apartment
very quite and Clam 2 AC Rooms","4","Private room in guest suite",
"Budget room surfing midigama","2","Room in hotel",
"Sandasi Villa Unawatuna","4","Entire home","5"
"Autumn Home Stay","2","Private room in nature lodge",
"Villa Nature Hights amazing views Ella","2","Private room in bed and breakfast",
"The Woodpecker Lodge Superior Room","2","Private room in villa","4.88"
"Non AC Room near Embilipitiya Central Bus Station","2","Private room in bed and breakfast",
"Heaven Hills Guest House","2","Private room in guesthouse","4.77"
"ROOM 03 - ""Charakama"" Guest Bungalow, Gampaha","2","Private room in bungalow",
"Luxury Sky Apartment","4","Entire rental unit",
"Villa Cozy","6","Entire home",
"Eyes of ella (Rd rck) luxury family room","4","Private room in bed and breakfast","4.8"
"Enjoy comfortable double room","2","Private room in home",
"Family room at Topaz","4","Room in boutique hotel",
"Bohemian Family Suite in MOI Talpe","3","Room in hotel",
"relax and enjoy","4","Private room in home",
"Budget chill stay on beach in Hikkaduwa","2","Room in hotel","4.24"
"Sea view new Bungalows","16","Private room in rental unit",
"Homestay With Nature in Sri Lanka","2","Private room in bungalow",
"361/B -Friendly place-10 Min to Airport","2","Entire guest suite",
"Scenic property on the beach in Hikkaduwa","2","Private room in bed and breakfast","4.2"
"Mandy House","2","Entire rental unit",
"Gentz Residency and Restaurant","8","Room in hotel","4.5"
"Villa on Island-near Colombo airport and Negombo","2","Island","4.83"
"Habarana Dulwan Guest House (Family room)","5","Private room in bed and breakfast","4.5"
"Double Room (Twin Sharing) & Mountain View Balcony","2","Private room in townhouse","4.89"
"The West Coast House","7","Entire home",
"The Glen - Comfortable Room in Colonial House","2","Private room in home",
"Friendly Home Stay","2","Private room in earthen home","4.75"
"Saki Villa Ahangama - 102","2","Room in bed and breakfast","4.65"
"Oriental Villa","7","Entire home","4.84"
"JMF Hotel Rooms","1","Private room in bed and breakfast","5"
"Tangalle Guest House|Rooms | sea view","2","Private room in guesthouse","5"
"Villa Upper Dickson - Room 2","2","Private room in villa",
"Prana hOMe Hotel - Yoga & Wellness - Kriya Room","2","Room in boutique hotel",
"The folly Arugambay","2","Private room in bed and breakfast","4.33"
"villa 31","3","Entire home",
"home stay/wkvila","3","Private room in home",
"Deluxe Room (A)","2","Private room in bed and breakfast",
"1 roomed Entire full house in Negombo","2","Entire home","5"
"Kings room","2","Treehouse",
"Mountain view 105 nice room
Bed &Breakfast","3","Room in hotel",
"Unwind with sea views, entire 2 bedroom apartment","4","Entire condo","5"
"4 Queen BR Bungalow w/ Mountain View w/ Breakfast","8","Entire villa",
"Coral Bay Apartment","4","Entire rental unit",
"Luxury 5 BR Fully Equipped Villa near Surf Point","10","Entire home",
"Isanka lion lodge","12","Private room in guesthouse",
"Room in Matara","3","Private room in home",
"Broad View","2","Private room in bed and breakfast","4.8"
"2 Bed / 2 Bath Apartment in ON320 Colombo","4","Entire condo","3.67"
"5 Bed Room entire house","10","Entire home",
"Neverbeen to Ravi Beach house, Entirely yours!","4","Entire villa","4.65"
"green bird paradise","3","Entire guesthouse",
"Suites elegant double room 1","2","Private room in bed and breakfast","4.38"
"Beachfront honeymoon suit Dikwella","2","Private room in casa particular",
"Asnaka Villa","6","Entire villa","5"
"Garden Villa Ronnaduwa: Private Room ""Nanda""","2","Private room in villa",
"Deluxe King Room with Balcony #2","2","Private room in casa particular",
"The Cottage at Galapitiyaya Estate for 6","6","Farm stay","4.88"
"Luxury Chalet @ Villa Shade Negombo","4","Entire chalet",
"Heaven villa ,","8","Entire villa","4.57"
"Marine Breeze Master Suite","2","Private room in rental unit",
"A Beautiful 4 Bedroom Beach Villa with a pool","8","Entire bungalow",
"Innovick Residence Entire Floor","6","Private room in bed and breakfast","5"
"FIVE- Modern Apartment in Brand New Designed House","3","Private room in bed and breakfast","4.38"
"Bungalow By the Beach, Beach & Pool, Double Room","9","Room in hotel","4.5"
"Cozy Rustic Eco-Living! Cottage in Sigiriya Jungle","3","Private room in nature lodge","4.55"
"Neverbeen to Cascade Valley with Waterfall View |F","4","Private room in villa",
"Superior Chalets At Ilukketiya","8","Room in hotel",
"Villa Kaiydee","10","Entire villa","4.54"
"Cheerful 3 BR Just 5 Mins Walk From The Beach","7","Entire villa","5"
